19,Charles III,Char. 3,Q43274,1948-11-14,
1,Elizabeth II,Eliz. 2,Q9682,1926-04-21,2022-09-08
2,George VI,Geo. 6,Q280856,1895-12-14,1952-02-06
3,Edward VIII,Edw. 8,Q590227,1894-06-23,1972-05-28
4,George V,Geo. 5,Q269412,1865-06-03,1936-01-20
5,Edward VII,Edw. 7,Q20875,1841-11-09,1910-05-06
6,Victoria,Vict.,Q9439,1819-05-24,1901-01-22
7,William IV,Will. 4,Q130822,1765-08-21,1837-06-20
8,George IV,Geo. 4,Q130586,1762-08-12,1830-06-26
9,George III,Geo. 3,Q127318,1738-05-24,1820-01-29
