41,4,28/10/1958,18/09/1959,1958-59,7 & 8 Eliz. 2,Q108992754
41,3,05/11/1957,23/10/1958,1957-58,6 & 7 Eliz. 2,Q108992755
41,2,06/11/1956,01/11/1957,1956-57,5 & 6 Eliz. 2,Q108992756
41,1,07/06/1955,05/11/1956,1955-56,4 & 5 Eliz. 2,Q108992757
40,4,30/11/1954,06/05/1955,1954-55,3 & 4 Eliz. 2,Q108992758
40,3,03/11/1953,25/11/1954,1953-54,2 & 3 Eliz. 2,Q108992771
40,2,04/11/1952,29/10/1953,1952-53,1 & 2 Eliz. 2,Q108992787
40,1,31/10/1951,30/10/1952,1951-52,15 & 16 Geo. 6 & 1 Eliz. 2,Q108992807
39,2,31/10/1950,04/10/1951,1950-51,14 & 15 Geo. 6,Q108992825
39,1,01/03/1950,26/10/1950,1950,14 Geo. 6,Q108992839
38,5,26/10/1948,16/12/1949,1948-49,"12, 13 & 14 Geo. 6",Q108992854
38,4,14/9/1948,25/10/1948,1948,12 Geo. 6,Q108992855
38,3,21/10/1947,05/09/1948,1947-48,11 & 12 Geo. 6,Q108992856
38,2,12/11/1946,20/10/1947,1946-47,10 & 11 Geo. 6,Q108992857
38,1,01/08/1945,06/11/1946,1945-46,9 & 10 Geo. 6,Q108992858
37,10,29/11/1944,15/06/1945,1944-45,8 & 9 Geo. 6,Q108992859
37,9,24/11/1943,28/11/1944,1943-44,7 & 8 Geo. 6,Q108992860
37,8,11/11/1942,23/11/1943,1942-43,6 & 7 Geo. 6,Q108992861
37,7,12/11/1941,10/11/1942,1941-42,5 & 6 Geo. 6,Q108992862
37,6,21/11/1940,11/11/1941,1940-41,4 & 5 Geo. 6,Q108992863
37,5,28/11/1939,20/11/1940,1939-40,3 & 4 Geo. 6,Q108992864
37,4,08/11/1938,23/11/1939,1938-39,2 & 3 Geo. 6,Q108992865
37,3,26/10/1937,04/11/1938,1937-38,1 & 2 Geo. 6,Q108992866
37,2,03/11/1936,22/10/1937,1936-37,1 Edw. 8 & 1 Geo. 6,Q108992867
37,1,26/11/1935,30/10/1936,1935-36,26 Geo. 5 & 1 Edw. 8,Q108992869
36,4,20/11/1934,25/10/1935,1934-35,25 & 26 Geo. 5,Q108997376
36,3,21/11/1933,16/11/1934,1933-34,24 & 25 Geo. 5,Q108997377
36,2,22/11/1932,17/11/1933,1932-33,23 & 24 Geo. 5,Q108997378
36,1,03/11/1931,17/11/1932,1931-32,22 & 23 Geo. 5,Q108997379
35,2,28/10/1930,07/10/1931,1930-31,21 & 22 Geo. 5,Q108997380
35,1,25/06/1929,01/08/1930,1929-30,20 & 21 Geo. 5,Q108997381
34,5,06/11/1928,10/05/1929,1928-29,19 & 20 Geo. 5,Q108997394
34,4,07/02/1928,03/08/1928,1928,18 & 19 Geo. 5,Q108997413
34,3,08/02/1927,22/12/1927,1927,17 & 18 Geo. 5,Q108997432
34,2,02/02/1926,15/12/1926,1926,16 & 17 Geo. 5,Q108997456
34,1,02/12/1924,22/12/1925,1924-25,15 & 16 Geo. 5,Q108997475
33,1,08/01/1924,09/10/1924,1924,14 & 15 Geo. 5,Q108997477
32,2,13/02/1923,16/11/1923,1923,13 & 14 Geo. 5,Q108997478
32,1,20/11/1922,15/12/1922,1922 Session II,13 Geo. 5,Q108997479
31,5,07/02/1922,04/08/1922,1922 Session I,12 & 13 Geo. 5,Q108997480
31,4,14/12/1921,19/12/1921,1921 Session II,12 Geo. 5,Q108997481
31,3,15/02/1921,10/11/1921,1921 Session I,11 & 12 Geo. 5,Q108997482
31,2,10/02/1920,23/12/1920,1920,10 & 11 Geo. 5,Q108997483
31,1,04/02/1919,23/12/1919,1919,9 & 10 Geo. 5,Q108997484
30,8,12/02/1918,21/11/1918,1918,8 & 9 Geo. 5,Q108997485
30,7,07/02/1917,06/02/1918,1917-18,7 & 8 Geo. 5,Q108997486
30,6,15/02/1916,22/12/1916,1916,6 & 7 Geo. 5,Q108997487
30,5,11/11/1914,27/01/1916,1914-16,5 & 6 Geo. 5,Q108997488
30,4,10/02/1914,18/09/1914,1914,4 & 5 Geo. 5,Q108997489
30,3,10/03/1913,15/08/1913,1913,3 & 4 Geo. 5,Q108997490
30,2,14/02/1912,07/03/1913,1912-13,2 & 3 Geo. 5,Q108997491
30,1,31/01/1911,16/12/1911,1911,1 & 2 Geo. 5,Q108997492
29,1,15/02/1910,28/11/1910,1910,10 Edw. 7 & 1 Geo. 5,Q108997493
28,4,16/02/1909,03/12/1909,1909,9 Edw. 7,Q108997495
28,3,29/01/1908,21/12/1908,1908,8 Edw. 7,Q108997496
28,2,12/02/1907,28/08/1907,1907,7 Edw. 7,Q108997497
28,1,13/02/1906,21/12/1906,1906,6 Edw. 7,Q108997498
27,6,14/02/1905,11/08/1905,1905,5 Edw. 7,Q108997500
27,5,02/02/1904,15/08/1904,1904,4 Edw. 7,Q108997501
27,4,17/02/1903,14/08/1903,1903,3 Edw. 7,Q108997502
27,3,16/01/1902,18/12/1902,1902,1 & 2 Edw. 7,Q108997503
27,2,23/01/1901,17/08/1901,1901,1 Edw. 7,Q108997504
27,1,03/12/1900,15/12/1900,1900 Session II,64 Vict.,Q108997505
26,7,30/01/1900,08/08/1900,1900 Session I,63 & 64 Vict.,Q108997506
26,6,1899-10-17,1899-10-27,1899 Session II,63 Vict.,Q108997507
26,5,1899-02-07,1899-08-09,1899 Session I,62 & 63 Vict.,Q108997508
26,4,1898-02-08,1898-08-12,1898,61 & 62 Vict.,Q108997509
26,3,1897-01-19,1897-08-06,1897,60 & 61 Vict.,Q108997510
26,2,1896-02-11,1896-08-14,1894-96,59 & 60 Vict.,Q108997511
26,1,1895-08-12,1895-09-05,1895 Session II,59 Vict.,Q108997518
25,4,1895-02-05,1895-07-06,1895 Session I,58 & 59 Vict.,Q108997533
25,3,1894-03-12,1894-08-25,1894,57 & 58 Vict.,Q108997550
25,2,1893-01-31,1894-03-05,1893-94,56 & 57 Vict.,Q108997565
25,1,1892-08-04,1892-08-18,1892 Session II,56 Vict.,Q108997582
24,7,1892-02-09,1892-06-28,1892 Session I,55 & 56 Vict.,Q108997599
24,6,1890-11-25,1891-08-05,1890-91,54 & 55 Vict.,Q108997602
24,5,1890-02-11,1890-08-18,1890,53 & 54 Vict.,Q108997603
24,4,1889-02-21,1889-08-30,1889,52 & 53 Vict.,Q108997604
24,3,1888-02-09,1888-12-24,1888,51 & 52 Vict.,Q108997605
24,2,1887-01-27,1887-09-16,1887,50 & 51 Vict.,Q108997606
24,1,1886-08-05,1886-09-25,1886 Session II,50 Vict.,Q108997607
23,1,1886-01-12,1886-06-25,1886 Session I,49 & 50 Vict.,Q108997608
22,6,1884-10-23,1885-08-14,1884-85,48 & 49 Vict.,Q108997609
22,5,1884-02-05,1884-08-14,1884,47 & 48 Vict.,Q108997610
22,4,1883-02-15,1883-08-25,1883,46 & 47 Vict.,Q108997611
22,3,1882-02-07,1882-12-02,1882,45 & 46 Vict.,Q108997612
22,2,1880-11-24,1881-08-27,1880-81,44 & 45 Vict.,Q108997613
22,1,1880-04-29,1880-09-07,1880 Session II,43 & 44 Vict.,Q108997614
21,7,1880-02-05,1880-03-24,1880 Session I,43 Vict.,Q108997615
21,6,1878-12-05,1879-08-15,1878-79,42 & 43 Vict.,Q108997616
21,5,1878-01-17,1878-08-16,1878,41 & 42 Vict.,Q108997617
21,4,1877-02-08,1877-08-14,1877,40 & 41 Vict.,Q108997618
21,3,1876-02-08,1876-08-15,1876,39 & 40 Vict.,Q108997619
21,2,1875-02-05,1875-08-13,1875,38 & 39 Vict.,Q108997620
21,1,1874-03-05,1874-08-07,1874,37 & 38 Vict.,Q108997621
20,5,1873-02-06,1873-08-05,1873,36 & 37 Vict.,Q108997622
20,4,1872-02-06,1872-08-10,1872,35 & 36 Vict.,Q108997623
20,3,1871-02-09,1871-08-21,1871,34 & 35 Vict.,Q108997624
20,2,1870-02-08,1870-08-10,1870,33 & 34 Vict.,Q108997625
20,1,1868-12-10,1869-08-11,1868-69,32 & 33 Vict.,Q108997626
19,3,1868-02-13,1868-07-31,1868,31 & 32 Vict.,Q108997627
19,2,1867-02-05,1867-08-21,1867,30 & 31 Vict.,Q108997628
19,1,1866-02-01,1866-08-10,1866,29 & 30 Vict.,Q108997629
18,7,1865-02-07,1865-07-06,1865,28 & 29 Vict.,Q108997630
18,6,1864-02-04,1864-07-29,1864,27 & 28 Vict.,Q108997631
18,5,1863-02-05,1863-07-28,1863,26 & 27 Vict.,Q108997632
18,4,1862-02-06,1862-08-07,1862,25 & 26 Vict.,Q108997633
18,3,1861-02-05,1861-08-06,1861,24 & 25 Vict.,Q108997634
18,2,1860-01-24,1860-08-28,1860,23 & 24 Vict.,Q108997635
18,1,1859-05-31,1859-08-13,1859-59 Session II,22 & 23 Vict.,Q108997645
17,3,1859-02-03,1859-04-19,1859-59 Session I,22 Vict.,Q108997659
17,2,1857-12-03,1858-08-02,1857-58,21 & 22 Vict.,Q108997676
17,1,1857-04-30,1857-08-28,1857 Session II,20 & 21 Vict.,Q108997692
16,5,1857-02-03,1857-03-21,1857 Session I,20 Vict.,Q108997708
16,4,1856-01-31,1856-07-29,1856,19 & 20 Vict.,Q108997723
16,3,1854-12-12,1855-08-14,1854-55,18 & 19 Vict.,Q108997732
16,2,1854-01-31,1854-08-12,1854,17 & 18 Vict.,Q108997733
16,1,1852-11-04,1853-08-20,1852-1853,16 & 17 Vict.,Q108997734
15,5,1852-02-03,1852-07-01,1852,15 & 16 Vict.,Q108997735
15,4,1851-02-04,1851-08-08,1851,14 & 15 Vict.,Q108997736
