19,38,2022-09-08,,5
1,1,1952-02-06,2022-09-08,5
2,2,1936-12-11,1952-02-06,5
3,3,1936-01-20,1936-12-11,5
4,4,1910-05-06,1936-01-20,5
5,5,1901-01-22,1910-05-06,5
6,6,1837-06-20,1901-01-22,5
7,7,1830-06-26,1837-06-20,5
8,8,1820-01-29,1830-06-26,5
9,11,1801-01-01,1820-01-29,5
9,10,1760-10-25,1801-01-01,3
9,9,1760-10-25,1801-01-01,4
